thickness,k,n_trees,min_node_size,max_depth,beta,fold,auc,auc_avg,auc_std
50,5,800,3%,8,0.5,0,4.5879913020458836e-41,4.5879913020458836e-41,0.0
50,5,800,3%,8,0.5,1,4.5879913020458836e-41,4.5879913020458836e-41,0.0
50,5,800,3%,8,0.5,2,4.5879913020458836e-41,4.5879913020458836e-41,0.0
50,5,800,3%,8,0.5,3,4.5879913020458836e-41,4.5879913020458836e-41,0.0
50,5,800,3%,8,0.5,4,4.5879913020458836e-41,4.5879913020458836e-41,0.0
75,5,800,3%,8,0.5,0,4.5879913020458836e-41,4.5879913020458836e-41,0.0
75,5,800,3%,8,0.5,1,4.5879913020458836e-41,4.5879913020458836e-41,0.0
75,5,800,3%,8,0.5,2,4.5879913020458836e-41,4.5879913020458836e-41,0.0
75,5,800,3%,8,0.5,3,4.5879913020458836e-41,4.5879913020458836e-41,0.0
75,5,800,3%,8,0.5,4,4.5879913020458836e-41,4.5879913020458836e-41,0.0
100,5,800,3%,8,0.5,0,4.5879913020458836e-41,4.5879913020458836e-41,0.0
100,5,800,3%,8,0.5,1,4.5879913020458836e-41,4.5879913020458836e-41,0.0
100,5,800,3%,8,0.5,2,4.5879913020458836e-41,4.5879913020458836e-41,0.0
100,5,800,3%,8,0.5,3,4.5879913020458836e-41,4.5879913020458836e-41,0.0
100,5,800,3%,8,0.5,4,4.5879913020458836e-41,4.5879913020458836e-41,0.0
200,5,800,3%,8,0.5,0,4.5879913020458836e-41,4.5879913020458836e-41,0.0
200,5,800,3%,8,0.5,1,4.5879913020458836e-41,4.5879913020458836e-41,0.0
200,5,800,3%,8,0.5,2,4.5879913020458836e-41,4.5879913020458836e-41,0.0
200,5,800,3%,8,0.5,3,4.5879913020458836e-41,4.5879913020458836e-41,0.0
200,5,800,3%,8,0.5,4,4.5879913020458836e-41,4.5879913020458836e-41,0.0
400,5,800,3%,8,0.5,0,4.5879913020458836e-41,4.5879913020458836e-41,0.0
400,5,800,3%,8,0.5,1,4.5879913020458836e-41,4.5879913020458836e-41,0.0
400,5,800,3%,8,0.5,2,4.5879913020458836e-41,4.5879913020458836e-41,0.0
400,5,800,3%,8,0.5,3,4.5879913020458836e-41,4.5879913020458836e-41,0.0
400,5,800,3%,8,0.5,4,4.5879913020458836e-41,4.5879913020458836e-41,0.0
50,5,800,3%,8,0.5,0,4.5893926005102084e-41,4.5893926005102084e-41,0.0
50,5,800,3%,8,0.5,1,4.5893926005102084e-41,4.5893926005102084e-41,0.0
50,5,800,3%,8,0.5,2,4.5893926005102084e-41,4.5893926005102084e-41,0.0
50,5,800,3%,8,0.5,3,4.5893926005102084e-41,4.5893926005102084e-41,0.0
50,5,800,3%,8,0.5,4,4.5893926005102084e-41,4.5893926005102084e-41,0.0
50,5,800,3%,8,0.5,0,4.561646890916577e-41,4.561646890916577e-41,0.0
50,5,800,3%,8,0.5,1,4.561646890916577e-41,4.561646890916577e-41,0.0
50,5,800,3%,8,0.5,2,4.561646890916577e-41,4.561646890916577e-41,0.0
50,5,800,3%,8,0.5,3,4.561646890916577e-41,4.561646890916577e-41,0.0
50,5,800,3%,8,0.5,4,4.561646890916577e-41,4.561646890916577e-41,0.0
75,5,800,3%,8,0.5,0,4.561646890916577e-41,4.561646890916577e-41,0.0
75,5,800,3%,8,0.5,1,4.561646890916577e-41,4.561646890916577e-41,0.0
75,5,800,3%,8,0.5,2,4.561646890916577e-41,4.561646890916577e-41,0.0
75,5,800,3%,8,0.5,3,4.561646890916577e-41,4.561646890916577e-41,0.0
75,5,800,3%,8,0.5,4,4.561646890916577e-41,4.561646890916577e-41,0.0
100,5,800,3%,8,0.5,0,4.561646890916577e-41,4.561646890916577e-41,0.0
100,5,800,3%,8,0.5,1,4.561646890916577e-41,4.561646890916577e-41,0.0
100,5,800,3%,8,0.5,2,4.561646890916577e-41,4.561646890916577e-41,0.0
100,5,800,3%,8,0.5,3,4.561646890916577e-41,4.561646890916577e-41,0.0
100,5,800,3%,8,0.5,4,4.561646890916577e-41,4.561646890916577e-41,0.0
200,5,800,3%,8,0.5,0,4.561646890916577e-41,4.561646890916577e-41,0.0
200,5,800,3%,8,0.5,1,4.561646890916577e-41,4.561646890916577e-41,0.0
200,5,800,3%,8,0.5,2,4.561646890916577e-41,4.561646890916577e-41,0.0
200,5,800,3%,8,0.5,3,4.561646890916577e-41,4.561646890916577e-41,0.0
200,5,800,3%,8,0.5,4,4.561646890916577e-41,4.561646890916577e-41,0.0
400,5,800,3%,8,0.5,0,4.561646890916577e-41,4.561646890916577e-41,0.0
400,5,800,3%,8,0.5,1,4.561646890916577e-41,4.561646890916577e-41,0.0
400,5,800,3%,8,0.5,2,4.561646890916577e-41,4.561646890916577e-41,0.0
400,5,800,3%,8,0.5,3,4.561646890916577e-41,4.561646890916577e-41,0.0
400,5,800,3%,8,0.5,4,4.561646890916577e-41,4.561646890916577e-41,0.0
400,5,800,3%,8,0.5,0,4.5804242903385296e-41,4.5804242903385296e-41,0.0
400,5,800,3%,8,0.5,1,4.5804242903385296e-41,4.5804242903385296e-41,0.0
400,5,800,3%,8,0.5,2,4.5804242903385296e-41,4.5804242903385296e-41,0.0
400,5,800,3%,8,0.5,3,4.5804242903385296e-41,4.5804242903385296e-41,0.0
400,5,800,3%,8,0.5,4,4.5804242903385296e-41,4.5804242903385296e-41,0.0
400,5,800,3%,8,0.5,0,4.587570912506586e-41,4.587570912506586e-41,0.0
400,5,800,3%,8,0.5,1,4.587570912506586e-41,4.587570912506586e-41,0.0
400,5,800,3%,8,0.5,2,4.587570912506586e-41,4.587570912506586e-41,0.0
400,5,800,3%,8,0.5,3,4.587570912506586e-41,4.587570912506586e-41,0.0
400,5,800,3%,8,0.5,4,4.587570912506586e-41,4.587570912506586e-41,0.0
400,5,800,3%,8,0.5,0,4.569213902623931e-41,4.569213902623931e-41,0.0
400,5,800,3%,8,0.5,1,4.569213902623931e-41,4.569213902623931e-41,0.0
400,5,800,3%,8,0.5,2,4.569213902623931e-41,4.569213902623931e-41,0.0
400,5,800,3%,8,0.5,3,4.569213902623931e-41,4.569213902623931e-41,0.0
400,5,800,3%,8,0.5,4,4.569213902623931e-41,4.569213902623931e-41,0.0
400,5,800,3%,8,0.5,0,0.9777294993400574,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,1,0.9773668050765991,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,2,0.9775548577308655,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,3,0.9761472344398499,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,4,0.983218252658844,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,0,0.9777294993400574,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,1,0.9773668050765991,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,2,0.9775548577308655,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,3,0.9761472344398499,0.9784032702445984,0.0027623262722045183
400,5,800,3%,8,0.5,4,0.983218252658844,0.9784032702445984,0.0027623262722045183
