thickness_mu,n_trees,min_node_size,split,beta,max_depth,train_auc,eval_auc,run_dir,log_path
100,1000,3.0,50_50,_5,8,0.993,0.985,results/1000-3-50_50-_5-8,results/1000-3-50_50-_5-8/100_evaluation.log
200,1000,3.0,50_50,_5,8,0.994,0.988,results/1000-3-50_50-_5-8,results/1000-3-50_50-_5-8/200_evaluation.log
400,1000,3.0,50_50,_5,8,0.99,0.971,results/1000-3-50_50-_5-8,results/1000-3-50_50-_5-8/400_evaluation.log
50,1000,3.0,50_50,_5,8,0.991,0.97,results/1000-3-50_50-_5-8,results/1000-3-50_50-_5-8/50_evaluation.log
75,1000,3.0,50_50,_5,8,0.993,0.98,results/1000-3-50_50-_5-8,results/1000-3-50_50-_5-8/75_evaluation.log
100,1200,3.0,50_50,_5,8,0.993,0.985,results/1200-3-50_50-_5-8,results/1200-3-50_50-_5-8/100_evaluation.log
200,1200,3.0,50_50,_5,8,0.994,0.988,results/1200-3-50_50-_5-8,results/1200-3-50_50-_5-8/200_evaluation.log
400,1200,3.0,50_50,_5,8,0.99,0.971,results/1200-3-50_50-_5-8,results/1200-3-50_50-_5-8/400_evaluation.log
50,1200,3.0,50_50,_5,8,0.991,0.97,results/1200-3-50_50-_5-8,results/1200-3-50_50-_5-8/50_evaluation.log
75,1200,3.0,50_50,_5,8,0.993,0.98,results/1200-3-50_50-_5-8,results/1200-3-50_50-_5-8/75_evaluation.log
100,1400,3.0,50_50,_5,8,0.993,0.985,results/1400-3-50_50-_5-8,results/1400-3-50_50-_5-8/100_evaluation.log
200,1400,3.0,50_50,_5,8,0.994,0.988,results/1400-3-50_50-_5-8,results/1400-3-50_50-_5-8/200_evaluation.log
400,1400,3.0,50_50,_5,8,0.991,0.971,results/1400-3-50_50-_5-8,results/1400-3-50_50-_5-8/400_evaluation.log
50,1400,3.0,50_50,_5,8,0.991,0.97,results/1400-3-50_50-_5-8,results/1400-3-50_50-_5-8/50_evaluation.log
75,1400,3.0,50_50,_5,8,0.993,0.98,results/1400-3-50_50-_5-8,results/1400-3-50_50-_5-8/75_evaluation.log
100,200,3.0,50_50,_5,8,0.991,0.985,results/200-3-50_50-_5-8,results/200-3-50_50-_5-8/100_evaluation.log
200,200,3.0,50_50,_5,8,0.992,0.987,results/200-3-50_50-_5-8,results/200-3-50_50-_5-8/200_evaluation.log
400,200,3.0,50_50,_5,8,0.989,0.971,results/200-3-50_50-_5-8,results/200-3-50_50-_5-8/400_evaluation.log
50,200,3.0,50_50,_5,8,0.989,0.972,results/200-3-50_50-_5-8,results/200-3-50_50-_5-8/50_evaluation.log
75,200,3.0,50_50,_5,8,0.99,0.978,results/200-3-50_50-_5-8,results/200-3-50_50-_5-8/75_evaluation.log
100,200,5.0,50_50,_5,3,0.978,0.978,results/200-5-50_50-_5-3,results/200-5-50_50-_5-3/100_evaluation.log
200,200,5.0,50_50,_5,3,0.975,0.974,results/200-5-50_50-_5-3,results/200-5-50_50-_5-3/200_evaluation.log
400,200,5.0,50_50,_5,3,0.965,0.957,results/200-5-50_50-_5-3,results/200-5-50_50-_5-3/400_evaluation.log
50,200,5.0,50_50,_5,3,0.978,0.968,results/200-5-50_50-_5-3,results/200-5-50_50-_5-3/50_evaluation.log
75,200,5.0,50_50,_5,3,0.98,0.975,results/200-5-50_50-_5-3,results/200-5-50_50-_5-3/75_evaluation.log
100,400,3.0,50_50,_5,8,0.992,0.985,results/400-3-50_50-_5-8,results/400-3-50_50-_5-8/100_evaluation.log
200,400,3.0,50_50,_5,8,0.993,0.987,results/400-3-50_50-_5-8,results/400-3-50_50-_5-8/200_evaluation.log
400,400,3.0,50_50,_5,8,0.99,0.971,results/400-3-50_50-_5-8,results/400-3-50_50-_5-8/400_evaluation.log
